Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
                0.01    0.10  120200/120200      void std::__detail::_Insert_base<int, int, std::allocator<int>, std::__detail::_Identity, std::equal_to<int>, std::hash<int>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<false, true, true> >::_M_insert_range<__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, std::__detail::_AllocNode<std::allocator<std::__detail::_Hash_node<int, false> > > >(__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, std::__detail::_AllocNode<std::allocator<std::__detail::_Hash_node<int, false> > > const&, std::integral_constant<bool, true>) [15]
                0.00    0.00  120200/240400      std::__detail::_Insert_base<int, int, std::allocator<int>, std::__detail::_Identity, std::equal_to<int>, std::hash<int>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<false, true, true> >::_M_conjure_hashtable() [320]
                0.00    0.00  120200/120200      std::__detail::_AllocNode<std::allocator<std::__detail::_Hash_node<int, false> > >::_AllocNode(std::__detail::_Hashtable_alloc<std::allocator<std::__detail::_Hash_node<int, false> > >&) [324]
-----------------------------------------------
                0.00    0.10  974687/974687      void std::__detail::_Insert_base<int, int, std::allocator<int>, std::__detail::_Identity, std::equal_to<int>, std::hash<int>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<false, true, true> >::_M_insert_range<__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, std::__detail::_AllocNode<std::allocator<std::__detail::_Hash_node<int, false> > > >(__gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, __gnu_cxx::__normal_iterator<int*, std::vector<int, std::allocator<int> > >, std::__detail::_AllocNode<std::allocator<std::__detail::_Hash_node<int, false> > > const&, std::integral_constant<bool, true>) [15]
[17]     4.7    0.00    0.10  974687         std::pair<std::__detail::_Node_iterator<int, true, false>, bool> std::_Hashtable<int, int, std::allocator<int>, std::__detail::_Identity, std::equal_to<int>, std::hash<int>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<false, true, true> >::_M_insert<int&, std::__detail::_AllocNode<std::allocator<std::__detail::_Hash_node<int, false> > > >(int&, std::__detail::_AllocNode<std::allocator<std::__detail::_Hash_node<int, false> > > const&, std::integral_constant<bool, true>) [17]
                0.01    0.09  974687/974687      std::pair<std::__detail::_Node_iterator<int, true, false>, bool> std::_Hashtable<int, int, std::allocator<int>, std::__detail::_Identity, std::equal_to<int>, std::hash<int>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<false, true, true> >::_M_insert_unique_aux<int&, std::__detail::_AllocNode<std::allocator<std::__detail::_Hash_node<int, false> > > >(int&, std::__detail::_AllocNode<std::allocator<std::__detail::_Hash_node<int, false> > > const&) [18]
                0.00    0.00  974687/10183204     int& std::forward<int&>(std::remove_reference<int&>::type&) [34]
                0.00    0.00  974687/974687      int& std::__detail::_ConvertToValueType<std::__detail::_Identity, int>::operator()<int&>(int&) const [104]
-----------------------------------------------
                0.01    0.09  974687/974687      std::pair<std::__detail::_Node_iterator<int, true, false>, bool> std::_Hashtable<int, int, std::allocator<int>, std::__detail::_Identity, std::equal_to<int>, std::hash<int>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<false, true, true> >::_M_insert<int&, std::__detail::_AllocNode<std::allocator<std::__detail::_Hash_node<int, false> > > >(int&, std::__detail::_AllocNode<std::allocator<std::__detail::_Hash_node<int, false> > > const&, std::integral_constant<bool, true>) [17]
[18]     4.5    0.01    0.09  974687         std::pair<std::__detail::_Node_iterator<int, true, false>, bool> std::_Hashtable<int, int, std::allocator<int>, std::__detail::_Identity, std::equal_to<int>, std::hash<int>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<false, true, true> >::_M_insert_unique_aux<int&, std::__detail::_AllocNode<std::allocator<std::__detail::_Hash_node<int, false> > > >(int&, std::__detail::_AllocNode<std::allocator<std::__detail::_Hash_node<int, false> > > const&) [18]
                0.00    0.07  974687/974687      std::pair<std::__detail::_Node_iterator<int, true, false>, bool> std::_Hashtable<int, int, std::allocator<int>, std::__detail::_Identity, std::equal_to<int>, std::hash<int>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<false, true, true> >::_M_insert_unique<int&, int&, std::__detail::_AllocNode<std::allocator<std::__detail::_Hash_node<int, false> > > >(int&, int&, std::__detail::_AllocNode<std::allocator<std::__detail::_Hash_node<int, false> > > const&) [23]
                0.01    0.00  974687/974687      std::__conditional<std::__and_<std::__is_nothrow_invocable<std::hash<int>&, int const&>, std::__not_<std::__is_nothrow_invocable<std::hash<int>&, int&> > >::value>::type<int, int&> std::_Hashtable<int, int, std::allocator<int>, std::__detail::_Identity, std::equal_to<int>, std::hash<int>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<false, true, true> >::_S_forward_key<int&>(int&) [47]
                0.00    0.00 1949374/10183204     int& std::forward<int&>(std::remove_reference<int&>::type&) [34]
                0.00    0.00  974687/974687      int& std::__detail::_Identity::operator()<int&>(int&) const [105]
-----------------------------------------------
                0.02    0.01 7680000/23064000     std::back_insert_iterator<std::vector<double, std::allocator<double> > > std::partial_sum<__gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > >, std::back_insert_iterator<std::vector<double, std::allocator<double> > > >(__gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > >, __gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > >, std::back_insert_iterator<std::vector<double, std::allocator<double> > >) [10]
                0.02    0.01 7692000/23064000     __gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > > std::__detail::__normalize<__gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > >, __gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > >, double>(__gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > >, __gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > >, __gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > >, double const&) [11]
                0.02    0.01 7692000/23064000     double std::accumulate<__gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > >, double>(__gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > >, __gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > >, double) [20]
[19]     4.2    0.06    0.03 23064000         bool __gnu_cxx::operator!=<double*, std::vector<double, std::allocator<double> > >(__gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > > const&, __gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > > const&) [19]
                0.03    0.00 46128000/46152000     __gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > >::base() const [29]
-----------------------------------------------
                0.03    0.06   12000/12000       std::discrete_distribution<int>::param_type::_M_initialize() [7]
[20]     4.1    0.03    0.06   12000         double std::accumulate<__gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > >, double>(__gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > >, __gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > >, double) [20]
                0.02    0.01 7692000/23064000     bool __gnu_cxx::operator!=<double*, std::vector<double, std::allocator<double> > >(__gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > > const&, __gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > > const&) [19]
                0.02    0.00 7680000/30720000     __gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > >::operator*() const [21]
                0.01    0.00 7680000/30720000     __gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > >::operator++() [30]
-----------------------------------------------
                0.02    0.00 7680000/30720000     double std::accumulate<__gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > >, double>(__gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > >, __gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > >, double) [20]
                0.02    0.00 7680000/30720000     std::back_insert_iterator<std::vector<double, std::allocator<double> > > std::partial_sum<__gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > >, std::back_insert_iterator<std::vector<double, std::allocator<double> > > >(__gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > >, __gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > >, std::back_insert_iterator<std::vector<double, std::allocator<double> > >) [10]
                0.04    0.00 15360000/30720000     __gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > > std::__detail::__normalize<__gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > >, __gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > >, double>(__gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > >, __gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > >, __gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > >, double const&) [11]
[21]     3.8    0.08    0.00 30720000         __gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > >::operator*() const [21]
-----------------------------------------------
                0.01    0.06 7680000/7680000     std::back_insert_iterator<std::vector<double, std::allocator<double> > > std::partial_sum<__gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > >, std::back_insert_iterator<std::vector<double, std::allocator<double> > > >(__gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > >, __gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > >, std::back_insert_iterator<std::vector<double, std::allocator<double> > >) [10]
[22]     3.3    0.01    0.06 7680000         std::back_insert_iterator<std::vector<double, std::allocator<double> > >::operator=(double const&) [22]
                0.06    0.00 7680000/7680000     std::vector<double, std::allocator<double> >::push_back(double const&) [24]
-----------------------------------------------
                0.00    0.07  974687/974687      std::pair<std::__detail::_Node_iterator<int, true, false>, bool> std::_Hashtable<int, int, std::allocator<int>, std::__detail::_Identity, std::equal_to<int>, std::hash<int>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<false, true, true> >::_M_insert_unique_aux<int&, std::__detail::_AllocNode<std::allocator<std::__detail::_Hash_node<int, false> > > >(int&, std::__detail::_AllocNode<std::allocator<std::__detail::_Hash_node<int, false> > > const&) [18]
[23]     3.2    0.00    0.07  974687         std::pair<std::__detail::_Node_iterator<int, true, false>, bool> std::_Hashtable<int, int, std::allocator<int>, std::__detail::_Identity, std::equal_to<int>, std::hash<int>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<false, true, true> >::_M_insert_unique<int&, int&, std::__detail::_AllocNode<std::allocator<std::__detail::_Hash_node<int, false> > > >(int&, int&, std::__detail::_AllocNode<std::allocator<std::__detail::_Hash_node<int, false> > > const&) [23]
                0.01    0.03  618566/618566      std::_Hashtable<int, int, std::allocator<int>, std::__detail::_Identity, std::equal_to<int>, std::hash<int>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<false, true, true> >::_M_insert_unique_node(unsigned long long, unsigned long long, std::__detail::_Hash_node<int, false>*, unsigned long long) [27]
                0.00    0.01  974687/1032052     std::_Hashtable<int, int, std::allocator<int>, std::__detail::_Identity, std::equal_to<int>, std::hash<int>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<false, true, true> >::_M_bucket_index(unsigned long long) const [83]
                0.00    0.01  950647/950647      std::__detail::_Hash_node<int, false>* std::_Hashtable<int, int, std::allocator<int>, std::__detail::_Identity, std::equal_to<int>, std::hash<int>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<false, true, true> >::_M_find_node_tr<int>(unsigned long long, int const&, unsigned long long) const [85]
                0.00    0.01  618566/618566      std::__detail::_AllocNode<std::allocator<std::__detail::_Hash_node<int, false> > >::__node_ptr std::__detail::_NodeBuilder<std::__detail::_Identity>::_S_build<int&, int&, std::__detail::_AllocNode<std::allocator<std::__detail::_Hash_node<int, false> > > >(int&, int&, std::__detail::_AllocNode<std::allocator<std::__detail::_Hash_node<int, false> > > const&) [87]
                0.00    0.00  974687/974687      unsigned long long std::__detail::_Hash_code_base<int, int, std::__detail::_Identity, std::hash<int>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, false>::_M_hash_code_tr<int>(int const&) const [95]
                0.00    0.00 1237132/10183204     int& std::forward<int&>(std::remove_reference<int&>::type&) [34]
                0.00    0.00 1949374/1949374     std::_Hashtable<int, int, std::allocator<int>, std::__detail::_Identity, std::equal_to<int>, std::hash<int>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<false, true, true> >::__small_size_threshold() [251]
                0.00    0.00  974687/974687      std::_Hashtable<int, int, std::allocator<int>, std::__detail::_Identity, std::equal_to<int>, std::hash<int>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<false, true, true> >::size() const [259]
                0.00    0.00  618566/618566      std::_Hashtable<int, int, std::allocator<int>, std::__detail::_Identity, std::equal_to<int>, std::hash<int>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<false, true, true> >::_Scoped_node::_Scoped_node(std::__detail::_Hash_node<int, false>*, std::__detail::_Hashtable_alloc<std::allocator<std::__detail::_Hash_node<int, false> > >*) [275]
                0.00    0.00  618566/618566      std::pair<std::__detail::_Node_iterator<int, true, false>, bool>::pair<std::__detail::_Node_iterator<int, true, false>&, bool, true>(std::__detail::_Node_iterator<int, true, false>&, bool&&) [280]
                0.00    0.00  618566/618566      std::_Hashtable<int, int, std::allocator<int>, std::__detail::_Identity, std::equal_to<int>, std::hash<int>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<false, true, true> >::_Scoped_node::~_Scoped_node() [276]
                0.00    0.00  356121/1022767     std::__detail::_Node_iterator<int, true, false>::_Node_iterator(std::__detail::_Hash_node<int, false>*) [256]
                0.00    0.00  356121/356121      std::pair<std::__detail::_Node_iterator<int, true, false>, bool>::pair<std::__detail::_Node_iterator<int, true, false>, bool, true>(std::__detail::_Node_iterator<int, true, false>&&, bool&&) [298]
                0.00    0.00   24040/129485      std::_Hashtable<int, int, std::allocator<int>, std::__detail::_Identity, std::equal_to<int>, std::hash<int>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<false, true, true> >::_M_begin() const [321]
-----------------------------------------------
                0.06    0.00 7680000/7680000     std::back_insert_iterator<std::vector<double, std::allocator<double> > >::operator=(double const&) [22]
[24]     2.8    0.06    0.00 7680000         std::vector<double, std::allocator<double> >::push_back(double const&) [24]
                0.00    0.00 15360000/15360000     double const& std::forward<double const&>(std::remove_reference<double const&>::type&) [232]
                0.00    0.00 7680000/8965641     operator new(unsigned long long, void*) [233]
-----------------------------------------------
                0.01    0.04 1094887/1094887     int& Eigen::Tensor<int, 2, 0, long long>::operator()<>(long long, long long) [26]
[25]     2.3    0.01    0.04 1094887         Eigen::Tensor<int, 2, 0, long long>::operator()(std::array<long long, 2ull> const&) [25]
                0.02    0.02 1094887/1094887     Eigen::Tensor<int, 2, 0, long long>::coeffRef(std::array<long long, 2ull> const&) [28]
-----------------------------------------------
                0.00    0.01  120200/1094887     GameStateManager::update_grid(Ship&, int) [89]
                0.00    0.04  974687/1094887     GameStateManager::update_marginals(Ship&, int) [9]
[26]     2.3    0.00    0.05 1094887         int& Eigen::Tensor<int, 2, 0, long long>::operator()<>(long long, long long) [26]
                0.01    0.04 1094887/1094887     Eigen::Tensor<int, 2, 0, long long>::operator()(std::array<long long, 2ull> const&) [25]
-----------------------------------------------
                0.01    0.03  618566/618566      std::pair<std::__detail::_Node_iterator<int, true, false>, bool> std::_Hashtable<int, int, std::allocator<int>, std::__detail::_Identity, std::equal_to<int>, std::hash<int>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<false, true, true> >::_M_insert_unique<int&, int&, std::__detail::_AllocNode<std::allocator<std::__detail::_Hash_node<int, false> > > >(int&, int&, std::__detail::_AllocNode<std::allocator<std::__detail::_Hash_node<int, false> > > const&) [23]
[27]     1.9    0.01    0.03  618566         std::_Hashtable<int, int, std::allocator<int>, std::__detail::_Identity, std::equal_to<int>, std::hash<int>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<false, true, true> >::_M_insert_unique_node(unsigned long long, unsigned long long, std::__detail::_Hash_node<int, false>*, unsigned long long) [27]
                0.01    0.01  618566/618566      std::_Hashtable<int, int, std::allocator<int>, std::__detail::_Identity, std::equal_to<int>, std::hash<int>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<false, true, true> >::_M_insert_bucket_begin(unsigned long long, std::__detail::_Hash_node<int, false>*) [42]
                0.00    0.01   57365/57365       std::_Hashtable<int, int, std::allocator<int>, std::__detail::_Identity, std::equal_to<int>, std::hash<int>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<false, true, true> >::_M_rehash(unsigned long long, std::integral_constant<bool, true>) [46]
                0.00    0.00   57365/1032052     std::_Hashtable<int, int, std::allocator<int>, std::__detail::_Identity, std::equal_to<int>, std::hash<int>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<false, true, true> >::_M_bucket_index(unsigned long long) const [83]
                0.00    0.00  618566/619846      std::__detail::_RehashStateGuard<std::__detail::_Prime_rehash_policy>::_RehashStateGuard(std::__detail::_Prime_rehash_policy&) [269]
                0.00    0.00  618566/618566      std::__detail::_Hash_code_base<int, int, std::__detail::_Identity, std::hash<int>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, false>::_M_store_code(std::__detail::_Hash_node_code_cache<false>&, unsigned long long) const [274]
                0.00    0.00  618566/1022767     std::__detail::_Node_iterator<int, true, false>::_Node_iterator(std::__detail::_Hash_node<int, false>*) [256]
                0.00    0.00  618566/619846      std::__detail::_RehashStateGuard<std::__detail::_Prime_rehash_policy>::~_RehashStateGuard() [270]
-----------------------------------------------
                0.02    0.02 1094887/1094887     Eigen::Tensor<int, 2, 0, long long>::operator()(std::array<long long, 2ull> const&) [25]
[28]     1.8    0.02    0.02 1094887         Eigen::Tensor<int, 2, 0, long long>::coeffRef(std::array<long long, 2ull> const&) [28]
                0.00    0.02 1094887/1101287     Eigen::Tensor<int, 2, 0, long long>::linearizedIndex(std::array<long long, 2ull> const&) const [41]
                0.00    0.00 1094887/1094887     Eigen::TensorStorage<int, Eigen::DSizes<long long, 2>, 0>::data() [255]
-----------------------------------------------
                0.00    0.00   24000/46152000     bool __gnu_cxx::operator==<double*, std::vector<double, std::allocator<double> > >(__gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > > const&, __gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > > const&) [148]
                0.03    0.00 46128000/46152000     bool __gnu_cxx::operator!=<double*, std::vector<double, std::allocator<double> > >(__gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > > const&, __gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > > const&) [19]
[29]     1.4    0.03    0.00 46152000         __gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > >::base() const [29]
-----------------------------------------------
                0.01    0.00 7680000/30720000     double std::accumulate<__gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > >, double>(__gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > >, __gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > >, double) [20]
                0.01    0.00 7680000/30720000     std::back_insert_iterator<std::vector<double, std::allocator<double> > > std::partial_sum<__gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > >, std::back_insert_iterator<std::vector<double, std::allocator<double> > > >(__gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > >, __gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > >, std::back_insert_iterator<std::vector<double, std::allocator<double> > >) [10]
                0.01    0.00 15360000/30720000     __gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > > std::__detail::__normalize<__gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > >, __gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > >, double>(__gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > >, __gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > >, __gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > >, double const&) [11]
[30]     1.4    0.03    0.00 30720000         __gnu_cxx::__normal_iterator<double*, std::vector<double, std::allocator<double> > >::operator++() [30]
-----------------------------------------------
                0.00    0.01  616537/1364043     std::_Hashtable<int, int, std::allocator<int>, std::__detail::_Identity, std::equal_to<int>, std::hash<int>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<false, true, true> >::_M_rehash(unsigned long long, std::integral_constant<bool, true>) [46]
                0.01    0.01  747506/1364043     std::_Hashtable<int, int, std::allocator<int>, std::__detail::_Identity, std::equal_to<int>, std::hash<int>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<false, true, true> >::_M_bucket_index(std::__detail::_Hash_node_value<int, false> const&) const [45]
[31]     1.3    0.01    0.02 1364043         std::__detail::_Hash_code_base<int, int, std::__detail::_Identity, std::hash<int>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, false>::_M_bucket_index(std::__detail::_Hash_node_value<int, false> const&, unsigned long long) const [31]
                0.01    0.00 1364043/2408110     std::__detail::_Mod_range_hashing::operator()(unsigned long long, unsigned long long) const [35]
                0.00    0.01 1364043/1364043     std::__detail::_Hash_code_base<int, int, std::__detail::_Identity, std::hash<int>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, false>::_M_hash_code(int const&) const [88]
                0.00    0.00 1364043/2109729     __gnu_cxx::__aligned_buffer<int>::_M_ptr() const [243]
                0.00    0.00 1364043/2109729     int const& std::__detail::_Identity::operator()<int const&>(int const&) const [245]
-----------------------------------------------
                0.00    0.03   12000/12000       std::vector<double, std::allocator<double> >::vector<__gnu_cxx::__normal_iterator<float*, std::vector<float, std::allocator<float> > >, void>(__gnu_cxx::__normal_iterator<float*, std::vector<float, std::allocator<float> > >, __gnu_cxx::__normal_iterator<float*, std::vector<float, std::allocator<float> > >, std::allocator<double> const&) [33]
[32]     1.2    0.00    0.03   12000         void std::vector<double, std::allocator<double> >::_M_range_initialize<__gnu_cxx::__normal_iterator<float*, std::vector<float, std::allocator<float> > > >(__gnu_cxx::__normal_iterator<float*, std::vector<float, std::allocator<float> > >, __gnu_cxx::__normal_iterator<float*, std::vector<float, std::allocator<float> > >, std::forward_iterator_tag) [32]
                0.01    0.01   12000/12000       std::vector<double, std::allocator<double> >::_S_check_init_len(unsigned long long, std::allocator<double> const&) [43]
                0.00    0.01   12000/12000       double* std::__uninitialized_copy_a<__gnu_cxx::__normal_iterator<float*, std::vector<float, std::allocator<float> > >, double*, double>(__gnu_cxx::__normal_iterator<float*, std::vector<float, std::allocator<float> > >, __gnu_cxx::__normal_iterator<float*, std::vector<float, std::allocator<float> > >, double*, std::allocator<double>&) [79]
                0.00    0.00   24000/60000       std::_Vector_base<double, std::allocator<double> >::_M_get_Tp_allocator() [335]
                0.00    0.00   12000/12000       __gnu_cxx::__normal_iterator<float*, std::vector<float, std::allocator<float> > >::difference_type __gnu_cxx::operator-<float*, std::vector<float, std::allocator<float> > >(__gnu_cxx::__normal_iterator<float*, std::vector<float, std::allocator<float> > > const&, __gnu_cxx::__normal_iterator<float*, std::vector<float, std::allocator<float> > > const&) [403]
                0.00    0.00   12000/24000       std::_Vector_base<double, std::allocator<double> >::_M_allocate(unsigned long long) [381]
-----------------------------------------------
                0.00    0.03   12000/12000       std::discrete_distribution<int>::param_type::param_type<__gnu_cxx::__normal_iterator<float*, std::vector<float, std::allocator<float> > > >(__gnu_cxx::__normal_iterator<float*, std::vector<float, std::allocator<float> > >, __gnu_cxx::__normal_iterator<float*, std::vector<float, std::allocator<float> > >) [5]
[33]     1.2    0.00    0.03   12000         std::vector<double, std::allocator<double> >::vector<__gnu_cxx::__normal_iterator<float*, std::vector<float, std::allocator<float> > >, void>(__gnu_cxx::__normal_iterator<float*, std::vector<float, std::allocator<float> > >, __gnu_cxx::__normal_iterator<float*, std::vector<float, std::allocator<float> > >, std::allocator<double> const&) [33]
                0.00    0.03   12000/12000       void std::vector<double, std::allocator<double> >::_M_range_initialize<__gnu_cxx::__normal_iterator<float*, std::vector<float, std::allocator<float> > > >(__gnu_cxx::__normal_iterator<float*, std::vector<float, std::allocator<float> > >, __gnu_cxx::__normal_iterator<float*, std::vector<float, std::allocator<float> > >, std::forward_iterator_tag) [32]
                0.00    0.00   12000/12000       std::_Vector_base<double, std::allocator<double> >::_Vector_base(std::allocator<double> const&) [409]
-----------------------------------------------
                0.00    0.00     640/10183204     std::pair<std::__detail::_Node_iterator<std::pair<int const, Ship>, false, false>, bool> std::_Hashtable<int, std::pair<int const, Ship>, std::allocator<std::pair<int const, Ship> >, std::__detail::_Select1st, std::equal_to<int>, std::hash<int>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<false, false, true> >::_M_emplace<int&, Ship&>(std::integral_constant<bool, true>, int&, Ship&) [119]
                0.00    0.00     640/10183204     std::_Hashtable<int, std::pair<int const, Ship>, std::allocator<std::pair<int const, Ship> >, std::__detail::_Select1st, std::equal_to<int>, std::hash<int>, std::__detail::_Mod_range_hashing, std::__detail::_Default_ranged_hash, std::__detail::_Prime_rehash_policy, std::__detail::_Hashtable_traits<false, false, true> >::_Scoped_node::_Scoped_node<int&, Ship&>(std::__detail::_Hashtable_alloc<std::allocator<std::__detail::_Hash_node<std::pair<int const, Ship>, false> > >*, int&, Ship&) [125]
